"Branch","LastCommitDate","DaysSinceCommit","Author","MergedIntoBase","Status","ProposedAction","Owner","Decision","Notes"
"origin/dev-bunch-of-improvements","2026-02-14","12","github-actions[bot]","no","active","keep","","",""
"origin/copilot/sub-pr-432","2026-02-15","11","copilot-swe-agent[bot]","no","active","keep","","",""
"origin/copilot/check-opentherm-message-handling","2026-02-16","10","Robert van den Breemen","no","active","keep","","",""
"origin/copilot/add-cool-command","2026-02-16","10","copilot-swe-agent[bot]","no","active","keep","","",""
"origin/copilot/improve-security-suggestions","2026-02-16","10","copilot-swe-agent[bot]","no","active","keep","","",""
"origin/copilot/separate-thermostat-boiler-values","2026-02-17","9","github-actions[bot]","no","active","keep","","",""
"origin/copilot/sub-pr-446","2026-02-20","6","github-actions[bot]","no","active","keep","","",""
"origin/copilot/plan-global-setting-buffers","2026-02-21","5","Robert van den Breemen","no","active","keep","","",""
"origin/copilot/analyze-dev-branch-issues","2026-02-21","5","copilot-swe-agent[bot]","no","active","keep","","",""
"origin/copilot/sub-pr-446-another-one","2026-02-21","5","copilot-swe-agent[bot]","no","active","keep","","",""
"origin/copilot/add-inventum-msgids-92-93-94-206","2026-02-22","4","copilot-swe-agent[bot]","no","active","keep","","",""
"origin/dev-branch-v1.2.0-beta-adr040-clean","2026-02-22","4","github-actions[bot]","no","active","keep","","",""
"origin/copilot/retrieve-pic-settings-webui","2026-02-23","3","copilot-swe-agent[bot]","no","active","keep","","",""
"origin/copilot/support-one-shot-commands-webui","2026-02-24","2","github-actions[bot]","no","active","keep","","",""
"origin/copilot/add-ps1-response-interpretation","2026-02-25","1","github-actions[bot]","no","active","keep","","",""
"origin/copilot/implement-rest-api-correctly","2026-02-25","1","github-actions[bot]","no","active","keep","","",""
"origin/copilot/add-webhook-feature","2026-02-25","1","copilot-swe-agent[bot]","no","active","keep","","",""
"origin/copilot/set-mqtt-publishing-interval","2026-02-25","1","copilot-swe-agent[bot]","no","active","keep","","",""
"origin/copilot/add-single-click-release-rollback","2026-02-25","1","copilot-swe-agent[bot]","no","active","keep","","",""
"origin/copilot/add-authentication-to-settings","2026-02-25","1","github-actions[bot]","no","active","keep","","",""
"origin/dev-wemos-d1-esp32","2021-07-22","1680","Robert van den Breemen","no","stale-unmerged","owner-review","","",""
"origin/dev-trying-userfs","2022-02-16","1471","Robert van den Breemen","no","stale-unmerged","owner-review","","",""
"origin/revert-360-dev","2026-01-15","42","Robert van den Breemen","no","stale-unmerged","owner-review","","",""
"origin/dev-streaming-MQTT","2026-01-15","42","github-actions[bot]","no","stale-unmerged","owner-review","","",""
"origin/copilot/review-wifi-manager-implementation","2026-01-18","39","copilot-swe-agent[bot]","no","stale-unmerged","owner-review","","",""
"origin/copilot/monitor-memory-usage","2026-01-25","32","copilot-swe-agent[bot]","no","stale-unmerged","owner-review","","",""
"origin/dev-working-rc6","2026-01-27","30","github-actions[bot]","no","stale-unmerged","owner-review","","",""
"origin/copilot/fix-wemos-d1-bootloop-issue","2026-01-28","29","copilot-swe-agent[bot]","no","stale-unmerged","owner-review","","",""
"origin/copilot/fix-web-ui-gateway-mode","2026-01-28","29","copilot-swe-agent[bot]","no","stale-unmerged","owner-review","","",""
"origin/dev-improvement-rest-api-compatibility","2026-01-31","26","github-actions[bot]","no","stale-unmerged","owner-review","","",""
"origin/dev-improving-mqtt-api","2026-01-31","26","Robert van den Breemen","no","stale-unmerged","owner-review","","",""
"origin/copilot/review-last-commits-critically","2026-02-04","22","copilot-swe-agent[bot]","no","stale-unmerged","owner-review","","",""
"origin/copilot/update-labels-in-dashboard","2026-02-05","21","copilot-swe-agent[bot]","no","stale-unmerged","owner-review","","",""
"origin/copilot/sub-pr-406","2026-02-06","20","copilot-swe-agent[bot]","no","stale-unmerged","owner-review","","",""
"origin/copilot/fix-action-job-issue","2026-02-06","20","copilot-swe-agent[bot]","no","stale-unmerged","owner-review","","",""
"origin/copilot/update-readme-contributions-section","2026-02-07","19","github-actions[bot]","no","stale-unmerged","owner-review","","",""
"origin/copilot/create-improvement-plan","2026-02-07","19","copilot-swe-agent[bot]","no","stale-unmerged","owner-review","","",""
"origin/copilot/sub-pr-420-again","2026-02-09","17","copilot-swe-agent[bot]","no","stale-unmerged","owner-review","","",""
"origin/copilot/sub-pr-420","2026-02-09","17","github-actions[bot]","no","stale-unmerged","owner-review","","",""
"origin/codex/add-visual-indicator-for-gateway-mode-thaj95","2026-02-09","17","Copilot","no","stale-unmerged","owner-review","","",""
